Country or region,Highest point,Maximum elevation
Afghanistan,Noshakh,"24,580 ft"
Albania,Korab,"9,068 ft"
Algeria,Mount Tahat,"9,852 ft"
American Samoa,Lata Mountain on Ta‘ū,"3,169 ft"
Andorra,Coma Pedrosa,"9,652 ft"
Angola,Mount Moco,"8,596 ft"
Anguilla,Crocus Hill,213 ft
Antarctica,Mount Vinson,"16,050 ft"
Antigua and Barbuda,Boggy Peak on Antigua,"1,319 ft"
Argentina,Aconcagua[2][3],"22,835 ft"
Armenia,Mount Aragats,"13,419 ft"
Aruba,Mount Jamanota,617 ft
Australia,Mount Kosciuszko[5],"7,310 ft"
Austria,Grossglockner,"12,461 ft"
Azerbaijan,Mount Bazardüzü,"14,715 ft"
Bahamas,Mount Alvernia on Cat Island,207 ft
Bahrain,Mountain of Smoke,400 ft
Bangladesh,Saka Haphong,"3,451 ft"
Barbados,Mount Hillaby,"1,102 ft"
Belarus,Dzyarzhynskaya Hara,"1,135 ft"
Belgium,Signal de Botrange,"2,277 ft"
Belize,Doyle's Delight,"3,688 ft"
Benin,Mont Sokbaro,"2,159 ft"
Bermuda,Town Hill,249 ft
Bhutan,Gangkhar Puensum,"24,836 ft"
Bolivia,Sajama,"21,463 ft"
Bosnia and Herzegovina,Maglić,"7,828 ft"
Botswana,Otse Hill,"4,892 ft"
Bouvet Island,Olavtoppen,"3,068 ft"
Brazil,Pico da Neblina,"9,826 ft[6]"
British Indian Ocean Territory,Unnamed location on Diego Garcia,49 ft
Brunei,Bukit Pagon,"6,070 ft"
Bulgaria,Musala,"9,596 ft"
Burkina Faso,Mount Tenakourou,"2,457 ft"
Burundi,Mount Heha,"8,806 ft"
Cambodia,Phnom Aural,"5,938 ft"
Cameroon,Mount Cameroon,"13,255 ft"
Canada,Mount Logan[7],"19,551 ft"
Cape Verde,Pico do Fogo,"9,281 ft"
Cayman Islands,The Bluff on Cayman Brac,151 ft
Central African Republic,Mont Ngaoui,"4,659 ft"
Chad,Emi Koussi,"11,302 ft"
Chile,Ojos del Salado[8][9],"22,615 ft"
China,Mount Everest[11][12],"29,029 ft"
Christmas Island,Murray Hill,"1,184 ft"
Cocos (Keeling) Islands,Unnamed location,16 ft
Colombia,Pico Cristóbal Colón[14]Pico Simón Bolívar,"18,701 ft"
Comoros,Mount Karthala on Grande Comore,"7,743 ft"
