Rank,Total,CountryName
1,13,Canada
2,11,Malta
2,11,Portugal
2,11,Spain
5,10,Austria
5,10,Denmark
5,10,Sweden
5,10,United Kingdom
5,10,Uruguay
10,9,Australia
10,9,Germany
10,9,Iceland
10,9,Taiwan
14,8,Colombia
14,8,Netherlands
14,8,New Zealand
14,8,Switzerland
18,7,Belgium
18,7,Greenland
18,7,Ireland
18,7,Norway
22,6,Argentina
22,6,Finland
22,6,France
22,6,Luxembourg
22,5,Réunion
27,5,French Polynesia
27,5,New Caledonia
27,5,Puerto Rico
27,5,South Africa
31,4,Costa Rica
31,4,Ecuador
31,4,Guadeloupe
31,4,Israel
31,4,Martinique
31,4,United States
37,3,Gibraltar
37,3,Guam
37,3,Slovenia
40,2,Andorra
40,2,Brazil
40,2,Chile
40,2,Czech Republic
40,2,Estonia
40,2,Mexico
46,1,Cuba
46,1,Greece
46,1,India
46,1,San Marino
46,1,Thailand
51,0,Bermuda
51,0,Croatia
51,0,Italy
51,0,Liechtenstein
51,0,Nepal
51,0,Slovakia
51,0,United States Virgin Islands
58,-1,Bolivia
58,-1,Bosnia and Herzegovina
60,-2,Albania
60,-2,Aruba
60,-2,Bhutan
60,-2,Japan
60,-2,Mozambique
60,-2,Samoa
66,-3,Angola
66,-3,Bulgaria
66,-3,Hong Kong
66,-3,China 
66,-3,Cyprus
66,-3,Fiji
66,-3,Hungary
66,-3,South Korea
66,-3,North Macedonia
66,-3,Monaco
66,-3,Montenegro
66,-3,Panama
66,-3,Romania
66,-3,Serbia
66,-3,Sint Maarten
66,-3,Vietnam
81,-4,Armenia
81,-4,Botswana
81,-4,Cape Verde
81,-4,Curacao
81,-4,El Salvador
81,-4,Kazakhstan
81,-4,Kosovo
81,-4,Laos
81,-4,Latvia
81,-4,Lesotho
81,-4,Lithuania
81,-4,Macau
81,-4,Mali
81,-4,Mongolia
81,-4,Niger
96,-5,Belize
96,-5,Benin
96,-5,British Virgin Islands
96,-5,Cambodia
96,-5,Georgia
96,-5,Moldova
96,-5,Pakistan
96,-5,Seychelles
96,-5,Singapore
96,-5,Sri Lanka
96,-5,Suriname
107,-6,Antigua and Barbuda
107,-6,Barbados
107,-6,Gabon
107,-6,Guinea-Bissau
107,-6,Jordan
107,-6,Kyrgyzstan
107,-6,Namibia
107,-6,Peru
107,-6,Ukraine
107,-6,Vanuatu
117,-7,Burkina Faso
117,-7,Honduras
117,-7,Lebanon
117,-7,Mauritius
117,-7,Myanmar
117,-7,Nicaragua
117,-7,Philippines
117,-7,Turkey
117,-7,Venezuela
126,-8,Bangladesh
126,-8,Cook Islands
126,-8,Equatorial Guinea
126,-8,Poland
126,-8,Tajikistan
126,-8,Trinidad and Tobago
132,-9,Algeria
132,-9,Bahamas
132,-9,Bahrain
132,-9,Burundi
132,-9,Central African Republic
132,-9,Djibouti
132,-9,Grenada
132,-9,Guatemala
132,-9,Indonesia
132,-9,North Korea
132,-9,Madagascar
132,-9,Republic of the Congo
132,-9,Rwanda
132,-9,Sierra Leone
132,-9,Tonga
132,-9,Tunisia
132,-9,Vatican City
150,-10,Azerbaijan
150,-10,Belarus
150,-10,Guyana
150,-10,Kenya
150,-10,Oman
150,-10,Papua New Guinea
150,-10,Paraguay
150,-10,Togo
150,-10,Uzbekistan
150,-10,Zambia
160,-11,Brunei
160,-11,Chad
160,-11,Comoros
160,-11,Dominica
160,-11,Dominican Republic
160,-11,Ethiopia
160,-11,Ghana
160,-11,Ivory Coast
160,-11,Liberia
160,-11,Maldives
160,-11,Senegal
160,-11,Solomon Islands
160,-11,Sudan
160,-11,Eswatini
160,-11,Syria
160,-11,Turkmenistan
176,-12,Eritrea
176,-12,Gambia
176,-12,Haiti
176,-12,Iraq
176,-12,Jamaica
176,-12,Malawi
176,-12,Malaysia
176,-12,Mauritania
176,-12,Morocco
176,-12,Russia
176,-12,Tanzania
176,-12,Uganda
176,-12,Zimbabwe
190,-13,Cameroon
190,-13,Egypt
190,-13,Kuwait
190,-13,Nigeria
190,-13,Qatar
195,-14,Afghanistan
195,-14,Libya
195,-14,United Arab Emirates
198,-15,Yemen
199,-17,Iran
200,-18,Saudi Arabia
200,-18,Somalia
202,-19,Chechnya Russia
